energy,attenlength
21826.50,661.98
21977.90,648.75
22130.40,635.80
22283.90,623.13
22438.60,610.73
22594.30,598.58
22751.00,586.70
22908.90,575.06
23067.90,563.68
23227.90,552.53
23389.10,541.61
23551.40,530.93
23714.80,520.48
23879.30,510.24
24045.00,500.23
24211.90,490.42
24379.90,480.82
24549.00,471.43
24719.40,462.23
24890.90,453.23
25063.60,444.42
25237.50,435.80
25412.60,427.36
25588.90,419.10
25766.50,411.01
25945.30,403.10
26125.30,395.35
26306.60,387.77
26489.10,380.35
26672.90,373.09
26858.00,365.98
27044.30,359.02
27232.00,352.22
27420.90,345.55
27611.20,339.03
27802.80,332.65
27995.70,326.40
28189.90,320.29
28385.50,314.31
28582.50,308.45
28780.80,302.72
28980.50,297.11
29181.60,291.62
29384.10,286.25
29588.00,281.00
29793.30,275.85
30000.00,270.82 
